manv,hoten,gioitinh,ngaysinh,luong,maph,sdt,ngaybc
KD007,Nguyễn Thị Nhung,Nữ,1976-11-16,9549653,KDA,0399343407,2019-05-24
TT007,Lương Linh Diễm,Nữ,1996-01-29,13819130,KDA,0193817964,2016-06-09
HC013,Vũ Thị Diễm Diệu,Nữ,1989-04-23,13616079,HCA,0123308441,2012-06-17
KH010,Dương Khôi Hoàng,Nam,1974-12-08,13117408,KHO,0385975904,2022-11-09
DV007,Dương Mạnh Phong,Nam,1973-11-07,7445536,DVK,0393501203,2012-12-18
PR005,Võ Quỳnh Ngọc,Nữ,1973-04-25,9892141,PRC,0161992406,2019-10-17
HC014,Vũ Phương Linh,Nữ,1998-03-30,10489307,HCA,0121836149,2012-05-16
KT009,Trịnh Thị Phương Hà,Nữ,1979-09-12,8521648,KTA,0393699623,2023-06-03
NS007,Kiều Ánh Diệu,Nữ,1990-07-21,6704175,NSU,0198156428,2017-11-15
DV008,Đỗ Thị Thu Trang,Nữ,1989-10-31,7385486,DVK,0395800207,2013-12-20
KD008,Hồ Hải Xuân,Nam,1985-11-29,14208654,KDA,0394656384,2015-12-09
TT008,Thái Tâm Thịnh,Nam,2000-04-03,7009839,NSU,0187669112,2022-11-15
DV009,Hoàng Khắc Toàn,Nam,1966-06-11,14856936,DVK,0383518689,2011-09-18
TC007,Lý Bá Quang,Nam,1995-06-28,9765762,TCA,0189355977,2021-03-02
NS008,Đỗ Thị Hà Thanh,Nữ,1999-06-28,6191033,NSU,0389667107,2019-03-18
HC015,Cao Lan Ngân,Nữ,1999-06-25,10419522,HCA,0182007107,2015-08-16
KT010,Bùi Thị Chi Diệu,Nữ,1991-04-05,9727920,KTA,0361878795,2018-01-23
QT006,Đặng Diệu My,Nữ,1977-10-25,13774259,QTA,0167036355,2010-07-26
QT007,Kiều Thu Vân,Nữ,1984-08-20,7856091,QTA,0164356661,2016-09-25
KD009,Hồ Thảo Hương,Nữ,1973-07-13,11451797,KDA,0127609328,2020-01-07
PR006,Phạm Khôi Thắng,Nam,1981-04-13,13320047,PRC,0182378366,2010-10-11
NS009,Bùi Khôi Bình,Nam,1975-08-29,14289617,NSU,0324878173,2022-01-22
HC016,Lương Quốc Toàn,Nam,1990-11-05,12497107,HCA,0386285163,2014-05-26
KH011,Hà Thị Trang Huyền,Nữ,1981-07-24,11370505,KHO,0388747368,2020-07-18
NS010,Tôn Thị Chi Oanh,Nữ,1999-07-04,9199647,NSU,0323990926,2022-01-19
NS011,Hồ Đại Sơn,Nam,1982-07-13,6009443,NSU,0364727301,2012-09-19
DV010,Trịnh Yến Thu,Nữ,1974-10-09,6318109,DVK,0124588689,2023-04-10
NS012,Lý Long Mạnh,Nam,1980-12-13,13968036,NSU,0186346923,2010-01-04
KT011,Lương Vinh Việt,Nam,2000-06-20,11884568,KTA,0169184587,2021-02-11
QT008,Đặng Thị Quỳnh Nga,Nữ,1975-04-01,10941797,QTA,0187680035,2022-03-06
TT009,Đặng Tùng Cường,Nam,1996-05-31,6078614,MKA,0190242707,2011-06-22
KD010,Bùi Cường Việt,Nam,1994-09-04,7250500,KDA,0160430021,2020-01-17
TT010,Triệu Quỳnh Oanh,Nữ,1996-05-14,13366560,KHO,0125934450,2022-07-23
MK004,Hồ Hồng Bình,Nam,1966-06-04,13978572,MKA,0393256756,2023-09-06
PR007,Bùi Thị Hạnh Loan,Nữ,1983-12-04,10467998,PRC,0169584797,2018-12-18
TC008,Triệu Hiếu Đạt,Nam,1998-03-26,10812838,TCA,0198057897,2011-03-14
KD011,Hà Công Hoàng,Nam,1979-02-22,8090558,KDA,0121564925,2017-02-09
HC017,Đỗ Thị Trang Lan,Nữ,1980-07-30,9041454,HCA,0383856192,2016-11-30
KH012,Quách Tuyết Tú,Nữ,1976-11-18,14264145,KHO,0194928781,2019-02-12
QT009,La Thị Tú Loan,Nữ,1985-02-08,12659623,QTA,0195037104,2011-07-30
TC009,Đỗ Thu Dung,Nữ,1973-06-05,6378487,TCA,0365897354,2018-06-25
NS013,Quách Vy Nhung,Nữ,1975-02-19,13583634,NSU,0391439132,2019-04-18
MK005,Hồ Duy Mạnh,Nam,1985-02-20,14843159,MKA,0382924906,2014-08-26
DV011,Bùi Thị Tú Thủy,Nữ,1991-04-08,14915168,DVK,0163935716,2015-12-23
HC018,Hà Thị Phương Nga,Nữ,1968-05-10,14300723,HCA,0185491889,2019-11-01
TT011,Nguyễn Hào Vinh,Nam,1969-12-15,6627227,KHO,0392880065,2011-11-08
NS014,Tạ Thị Chi Giang,Nữ,1990-04-11,11145840,NSU,0389791019,2011-12-31
TT012,Bùi Duy Khang,Nam,1974-01-27,6424672,HCA,0166507189,2015-12-04
QT010,Phan Thị Hiền,Nữ,1998-09-23,13559489,QTA,0362063173,2018-12-29
KD012,Hồ Thị Diễm Kim,Nữ,1981-02-14,11424184,KDA,0365904679,2013-01-09
KH013,Đỗ Chính Quân,Nam,1973-06-04,13246161,KHO,0165095937,2012-09-24
HC019,Phan Khánh Đạt,Nam,1997-11-04,12878484,HCA,0123141771,2020-12-12
TT013,Mạc Quý Trung,Nam,1970-09-23,13368058,TCA,0324032403,2017-08-30
NS015,La Quang Khánh,Nam,1970-10-04,14582139,NSU,0361921883,2010-12-16
HC020,Dương Linh Liên,Nữ,1979-12-11,13492381,HCA,0190318763,2016-09-11
KD013,Hà Viễn Kiên,Nam,1995-01-31,11023859,KDA,0384690736,2011-03-20
KH014,Hoàng Hải Quân,Nam,1977-04-27,8589865,KHO,0360597834,2017-06-25
DV012,Tạ Thành Trung,Nam,1989-11-07,9405400,DVK,0329805710,2011-11-01
TC010,Võ Bình Hiếu,Nam,1990-07-15,7716263,TCA,0124465256,2012-02-26
KT012,Lương Đức Hưng,Nam,1984-02-12,12681069,KTA,0367592934,2019-05-02
TC011,Dương Trúc Tú,Nữ,2000-10-13,9916952,TCA,0325776477,2019-12-19
HC021,Quách Đạt Lâm,Nam,1984-06-01,7449741,HCA,0168891388,2023-10-19
TC012,Triệu Tiến Trung,Nam,1966-04-19,13569516,TCA,0369957549,2012-07-06
TC013,Tạ Tài Vinh,Nam,1973-07-15,7443728,TCA,0365231882,2012-03-14
KH015,Tạ Đình Cường,Nam,1972-05-25,7392619,KHO,0169831239,2010-01-24
DV013,Tôn Thị Nga Quỳnh,Nữ,1983-01-07,13199966,DVK,0180688765,2023-02-23
KD014,Lê Ngọc Tuấn,Nam,1992-01-04,14605913,KDA,0320823178,2020-10-04
NS016,Châu Viễn Hưng,Nam,1998-10-20,12948152,NSU,0396533911,2010-02-27
TC014,Trần Lương Phong,Nam,1996-03-16,7224247,TCA,0382972739,2016-10-04
QT011,Cao Thị Ánh Hiền,Nữ,1987-09-17,10052934,QTA,0184503197,2016-12-01
KD015,Quách Châu Nhung,Nữ,1978-08-23,12836355,KDA,0160880372,2011-06-09
NS017,Cao Duy Phúc,Nam,1971-09-09,7925532,NSU,0368920083,2010-04-30
DV014,Lương Hữu Anh,Nam,1971-12-23,12474402,DVK,0161623314,2021-02-02
HC022,Đặng Thanh Ánh,Nữ,1998-01-08,11888225,HCA,0385212665,2023-07-31
KD016,Châu Trúc Ánh,Nữ,1976-02-05,7810522,KDA,0321363563,2012-04-22
TT014,Hồ Vinh Tuấn,Nam,1979-04-07,11940188,MKA,0161530147,2013-07-22
KD017,Kiều Ngọc Mạnh,Nam,1989-08-26,9251827,KDA,0191772103,2018-08-14
MK006,Cao Thị Bích Uyên,Nữ,1989-08-11,10014546,MKA,0396384783,2017-10-21
TT015,Vũ Quốc Phúc,Nam,1967-11-21,10576770,KDA,0120329873,2010-01-28
KT013,Tạ Bích Thủy,Nữ,1982-01-13,7068032,KTA,0329085080,2023-02-05
NS018,Đỗ Uyên Nhung,Nữ,1975-05-04,13689259,NSU,0388110188,2019-02-02
QT012,Cao Tấn Xuân,Nam,1983-10-12,10143379,QTA,0195058028,2016-03-06
KT014,Lê Tùng Long,Nam,1983-03-19,9475127,KTA,0397507832,2010-01-21
DV015,Từ Bình Việt,Nam,1969-08-13,8585041,DVK,0169635176,2022-01-13
QT013,Hoàng Thị Anh Dung,Nữ,1965-11-09,14696060,QTA,0194684956,2016-12-09
DV016,Võ Hào Nam,Nam,1993-08-29,11288299,DVK,0124681106,2017-02-24
TC015,Dương Trường Đạt,Nam,1998-03-24,14602731,TCA,0160238448,2023-01-19
TT016,Võ Đức Khánh,Nam,1970-01-24,7676909,KDA,0185513543,2022-07-20
KT015,Trịnh Thảo Huyền,Nữ,1965-04-15,14151582,KTA,0397779953,2015-04-21
PR008,Võ Khôi Kiên,Nam,1975-01-29,6133091,PRC,0167640334,2011-06-26
KD018,Đặng Yến Hương,Nữ,1992-04-20,6279716,KDA,0122756340,2016-04-26
NS019,Vũ Bảo Sơn,Nam,1980-06-17,7067584,NSU,0184350577,2023-07-16
PR009,Đỗ Uyên Thảo,Nữ,2000-04-13,7135039,PRC,0190253509,2021-11-18
KD019,Võ Ánh Thủy,Nữ,1984-02-15,8855010,KDA,0325987616,2022-03-05
PR010,Phan Dũng Trung,Nam,1988-06-03,13505843,PRC,0192060881,2021-08-15
MK007,Mạc Hữu Tài,Nam,1975-05-19,9002470,MKA,0323911487,2012-07-22
HC023,Đỗ Công Quang,Nam,1970-01-17,10125862,HCA,0362315773,2012-03-13
QT014,Nguyễn Thị Nga Uyên,Nữ,1965-12-06,10583273,QTA,0166505057,2015-02-01
NS020,La Thị Diễm Hương,Nữ,1968-01-29,8451137,NSU,0387937578,2011-11-24
KT016,Lý Quỳnh Mỹ,Nữ,1975-07-01,11722230,KTA,0367378635,2016-03-09
MK008,Phan Thị Uyên My,Nữ,1989-12-22,12787015,MKA,0164580586,2018-12-09
KT017,Nguyễn Việt Khang,Nam,1998-05-30,13552769,KTA,0320715422,2017-02-08
HC024,Mai Hương Nga,Nữ,1965-12-25,8570867,HCA,0183470795,2010-11-28
TT017,Thái Sơn Phúc,Nam,1993-05-02,14791849,PRC,0391295452,2017-03-07
KT018,Cao Mạnh Cường,Nam,1991-07-01,10248312,KTA,0161902324,2017-01-25
KT019,Hà Hồng Quang,Nam,1968-08-28,11359987,KTA,0325305704,2018-03-05
HC025,Mai Thị Anh Thủy,Nữ,1994-02-25,14919229,HCA,0320621419,2012-01-31
NS021,Trịnh Hồng Long,Nam,1988-11-20,6146146,NSU,0164619943,2016-06-15
HC026,Lý Vĩnh Minh,Nam,1986-03-31,8544976,HCA,0393030209,2014-01-26
TC016,Vũ Thị Quỳnh Dung,Nữ,1967-07-25,9101811,TCA,0322534892,2019-03-03
DV017,Châu Thị Hương Ngọc,Nữ,1965-08-11,9131256,DVK,0399745422,2010-05-26
TC017,Võ Uyên Giang,Nữ,1982-09-07,13386363,TCA,0162703256,2023-05-15
HC027,Trần Phương Nga,Nữ,1986-06-04,12906344,HCA,0382032117,2022-06-18
QT015,Châu Phong Tuấn,Nam,1998-01-12,14601012,QTA,0128942982,2019-04-27
DV018,Thái Thị Uyên Yến,Nữ,1984-10-22,14930688,DVK,0398858930,2018-08-29
DV019,Thái Tín Việt,Nam,1992-02-27,9663781,DVK,0380733607,2017-05-18
QT016,Vũ Mai Kim,Nữ,1971-03-10,7093235,QTA,0199297057,2022-03-15
NS022,Đặng Hồng Phong,Nam,1969-06-01,10772068,NSU,0180314113,2016-09-12
TC018,Vũ Thế Duy,Nam,1999-01-02,12128424,TCA,0181831492,2019-01-30
PR011,Mai Phương Nhung,Nữ,1985-06-15,11356333,PRC,0320192595,2014-08-04
QT017,Võ Thắng Kiên,Nam,1967-02-26,6654713,QTA,0361856025,2014-12-17
HC028,Vũ Đại Nam,Nam,1965-09-24,13776282,HCA,0166044091,2019-04-04
TT018,Triệu Thị Nhung Kim,Nữ,1993-10-13,11877016,QTA,0361560844,2021-10-21
NS023,Hồ Thị Nga Dung,Nữ,1976-03-25,14873290,NSU,0398903993,2022-03-03
KD020,Lê Thịnh Phong,Nam,1995-12-28,6283588,KDA,0360693040,2015-01-05
NS024,Từ Thị Hạnh Yến,Nữ,1982-01-01,10729982,NSU,0393957757,2014-08-28
DV020,Bùi Vĩnh Nam,Nam,2000-02-23,7343024,DVK,0380540052,2012-11-05
KD021,Bùi Yến Quỳnh,Nữ,1974-11-06,7065160,KDA,0381291386,2012-09-27
KT020,Cao Thị Anh Tú,Nữ,1965-10-01,14894049,KTA,0191236233,2020-08-01
HC029,Phạm Thị Hạnh Ngọc,Nữ,1970-08-23,10604763,HCA,0125037685,2014-07-30
TC019,Từ Hào Khánh,Nam,1978-01-30,9238032,TCA,0391632766,2016-03-01
HC030,Thái Tuyết Mỹ,Nữ,1965-03-09,8847623,HCA,0388746012,2023-08-03
NS025,Bùi Bích Mai,Nữ,1979-01-03,10642355,NSU,0188021046,2016-02-22
KH016,Lê Chính Sơn,Nam,1974-04-30,10036303,KHO,0128274195,2021-03-03
DV021,Đặng Diệu Bích,Nữ,1996-05-06,10340226,DVK,0366723976,2023-08-15
QT018,Hồ Thị Trang Yến,Nữ,1967-12-03,7450375,QTA,0382223458,2020-06-21
PR012,Quách Liêm Vinh,Nam,1969-11-20,14081861,PRC,0120387654,2020-12-07
DV022,Tạ Sơn Minh,Nam,1969-07-20,6836261,DVK,0398846900,2014-01-27
DV023,Phan Dũng Giang,Nam,1990-12-24,7844277,DVK,0367617272,2022-01-09
MK009,Tôn Khoa Giang,Nam,1972-06-07,6362959,MKA,0388540991,2016-07-21
KD022,Quách Thái Anh,Nam,1975-10-15,10395955,KDA,0184887117,2017-06-25
DV024,La Khoa Hưng,Nam,1965-01-12,13897205,DVK,0365161581,2014-01-09
KT021,Châu Trường Hưng,Nam,1982-01-13,13608577,KTA,0398329411,2017-03-20
KD023,Phạm Thị Dung Chi,Nữ,1972-07-18,11121972,KDA,0384197096,2011-06-25
NS026,Tạ Sáng Đức,Nam,1990-07-22,9595352,NSU,0325076229,2019-01-05
TC020,Phan Tùng Sơn,Nam,1978-06-13,14562289,TCA,0369646922,2021-03-03
DV025,Triệu Thị Quỳnh Huyền,Nữ,1995-02-18,10111523,DVK,0189577427,2022-03-06
NS027,Hà Linh Thanh,Nữ,1989-12-02,13489492,NSU,0391221463,2015-05-13
KH017,Tạ Hồng Linh,Nữ,1999-09-26,12981036,KHO,0391958561,2010-03-24
HC031,Võ Thảo Thảo,Nữ,1975-11-25,6994109,HCA,0162304987,2022-03-28
QT019,Tạ Thanh Mỹ,Nữ,1972-08-02,6134505,QTA,0329985649,2020-12-31
TT019,Tôn Tuấn Hoàng,Nam,1980-02-14,11913639,KHO,0187183376,2019-08-25
MK010,Lý Vinh Chiến,Nam,1975-01-03,10393383,MKA,0383111051,2016-12-18
KD024,Đặng Vĩnh Long,Nam,1993-08-07,10577378,KDA,0165291827,2010-07-18
HC032,Kiều Thị Bích Chi,Nữ,1975-02-25,8436644,HCA,0393416714,2011-08-07
NS028,Ngô Linh Vân,Nữ,1997-04-12,14635367,NSU,0381161102,2011-10-06
TT020,Triệu Thành Hùng,Nam,1990-04-02,9593926,NSU,0399267853,2010-11-17
TT021,La Linh Loan,Nữ,1995-08-10,12587700,QTA,0381184592,2015-09-13
DV026,Nguyễn Thị Thu Thảo,Nữ,1987-09-04,11096827,DVK,0391307793,2021-12-05
KT022,Lý Diệp Mai,Nữ,1999-09-05,6117333,KTA,0128745841,2018-04-11
KD025,Thái Vy Kim,Nữ,1989-10-26,9876116,KDA,0388394288,2023-11-03
PR013,Hoàng Tâm Thịnh,Nam,1986-12-20,12764772,PRC,0391823877,2022-09-18
KH018,Mạc Khánh My,Nữ,1993-09-03,11555996,KHO,0362047903,2018-03-25
KT023,Tạ Quốc Giang,Nam,1995-04-30,8495194,KTA,0122369309,2015-03-15
DV027,Hà Lương Quang,Nam,1976-03-20,10149623,DVK,0368368421,2018-06-11
KH019,Từ Thị Phương Kim,Nữ,1973-11-11,6251096,KHO,0322978992,2020-07-19
MK011,Đặng Cảnh Phúc,Nam,1977-12-02,14846797,MKA,0388775009,2018-09-05
TC021,Châu Duy Chiến,Nam,1986-08-13,6737202,TCA,0386484050,2012-05-29
KT024,Từ Lan Huyền,Nữ,1984-03-04,7091819,KTA,0125746708,2021-10-30
NS029,Vũ Thành Giang,Nam,1998-11-20,7665524,NSU,0164157738,2014-08-21
DV028,Châu Mỹ Duy,Nam,1986-04-02,7854046,DVK,0328290616,2011-02-14
HC033,Đặng Việt Duy,Nam,1980-03-08,8540721,HCA,0127811836,2019-11-28
KD026,Trịnh Thảo Ngân,Nữ,1979-02-28,11720950,KDA,0385829552,2015-08-28
KH020,Châu Liêm Khang,Nam,1973-02-15,9783965,KHO,0163011713,2023-12-30
TT022,Mạc Thọ Mạnh,Nam,1982-09-28,13577156,TCA,0361271533,2023-01-26
KD027,Hồ Uyên Liên,Nữ,1997-04-09,10215740,KDA,0382215929,2021-07-17
NS030,Vũ Thảo Nhung,Nữ,1983-07-23,8365494,NSU,0160868587,2018-09-13
MK012,Võ Thị Quỳnh Thủy,Nữ,1966-11-27,7228336,MKA,0196407935,2020-07-20
KH021,Tôn Thị Quỳnh Nga,Nữ,1971-08-25,6115014,KHO,0169657876,2020-01-02
TT023,Tạ Hữu Duy,Nam,1976-08-05,8667320,KTA,0381436495,2023-03-08
HC034,Mạc Trường Hoàng,Nam,1981-11-18,12460223,HCA,0391338947,2018-02-22
MK013,Hoàng Diệu Phương,Nữ,1996-10-30,11378819,MKA,0196880247,2012-11-19
KT025,Lê Thảo My,Nữ,1965-07-06,14679783,KTA,0365014742,2023-02-05
KD028,Ngô Trường Tùng,Nam,1972-07-27,12600960,KDA,0381905744,2012-12-27
DV029,Kiều Hồng Chi,Nữ,1990-05-29,14854884,DVK,0395845576,2017-07-01
MK014,Hà Linh Thu,Nữ,1995-08-12,13377964,MKA,0363536702,2021-05-26
DV030,Châu My Yến,Nữ,1999-12-02,12929479,DVK,0188888559,2020-12-07
TT024,Kiều Văn Phúc,Nam,1989-03-01,7263520,KTA,0167418287,2018-04-26
MK015,Hồ Thị Thảo Uyên,Nữ,1990-10-11,10618557,MKA,0168902184,2013-12-11
DV031,Mai Xuân Bình,Nam,1983-02-22,11610553,DVK,0393695556,2021-11-12
PR014,Dương Thị Hoa Loan,Nữ,1982-11-12,11419171,PRC,0127204161,2022-06-06
HC035,Phan Châu Nhung,Nữ,1973-12-18,7352773,HCA,0388215704,2023-09-18
HC036,Bùi Long Hùng,Nam,1992-05-17,10261755,HCA,0365763905,2016-12-15
NS031,Bùi Thu Vân,Nữ,2000-04-06,11156921,NSU,0387122287,2014-11-14
MK016,Hồ Đại Khánh,Nam,1977-03-17,7602863,MKA,0384606062,2018-09-01
KT026,Kiều Sáng Tuấn,Nam,1979-07-02,11381468,KTA,0324446557,2012-10-28
TT025,Lý Thị Anh Uyên,Nữ,1971-01-13,14766421,DVK,0164188607,2017-07-04
TT026,Ngô Thị Hà Anh,Nữ,1986-02-17,14981445,KTA,0328506550,2017-03-28
TT027,Đỗ Phát Phong,Nam,1975-09-18,9859061,MKA,0193744582,2020-01-22
HC037,Thái Tấn Thịnh,Nam,1991-12-25,8808599,HCA,0326299219,2015-08-01
TC022,Trần Tiến Hiếu,Nam,2000-01-21,13519067,TCA,0125708916,2017-05-03
TC023,Mạc Toàn Trí,Nam,1997-09-13,9593508,TCA,0167844767,2020-01-02
DV032,Phan Diệu Mỹ,Nữ,1971-01-15,14639270,DVK,0168789129,2010-08-20
TT028,Hoàng Phương Yến,Nữ,1974-10-18,6842958,KDA,0320891504,2013-12-14
TC024,Lý Mỹ Phúc,Nam,1986-04-23,9215377,TCA,0385418911,2014-08-30
NS032,Lý Thị Ngọc Kim,Nữ,1995-03-20,9747799,NSU,0397955797,2023-07-24
QT020,Tạ Danh Cường,Nam,1989-10-23,13783244,QTA,0160152280,2020-04-07
PR015,Vũ Khang Sơn,Nam,1972-06-11,14649730,PRC,0183375127,2011-09-25
DV033,Trịnh Diệp Linh,Nữ,1966-10-27,13805870,DVK,0322578217,2012-08-30
NS033,Phan Ánh Giang,Nữ,1988-07-14,10653608,NSU,0321651358,2021-04-24
KD029,Hoàng Trung Kiên,Nam,1975-02-15,9036207,KDA,0397752205,2022-10-10
DV034,La Thị Linh Ánh,Nữ,1997-12-17,8740504,DVK,0322094823,2010-01-01
DV035,Lương Bích Trinh,Nữ,1977-01-14,8035576,DVK,0164842811,2010-11-03
KD030,Trịnh Phúc Nam,Nam,1996-07-05,11142508,KDA,0160025825,2023-06-11
KT027,Mạc Lâm Toàn,Nam,1984-09-13,13141605,KTA,0161193278,2012-08-26
KH022,Tôn Chí Việt,Nam,1999-01-26,10106773,KHO,0389590092,2017-02-24
KD031,Mai Châu Tiên,Nữ,1992-06-14,7704264,KDA,0364464065,2018-05-26
MK017,Võ Quỳnh Chi,Nữ,1986-08-11,12073976,MKA,0320483796,2023-06-09
HC038,Trần Toàn Lâm,Nam,1990-11-10,8917725,HCA,0328210771,2010-11-18
